sa4_code,sa4_name,state_code,state_name,anzsic_division,anzsic_name,employed_persons
101,Capital Region,1,New South Wales,A,"Agriculture, Forestry and Fishing",6620
101,Capital Region,1,New South Wales,B,Mining,609
101,Capital Region,1,New South Wales,C,Manufacturing,4576
101,Capital Region,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1524
101,Capital Region,1,New South Wales,E,Construction,12177
101,Capital Region,1,New South Wales,F,Wholesale Trade,1853
101,Capital Region,1,New South Wales,G,Retail Trade,9785
101,Capital Region,1,New South Wales,H,Accommodation and Food Services,8363
101,Capital Region,1,New South Wales,I,"Transport, Postal and Warehousing",3639
101,Capital Region,1,New South Wales,J,Information Media and Telecommunications,1011
101,Capital Region,1,New South Wales,K,Financial and Insurance Services,1310
101,Capital Region,1,New South Wales,L,"Rental, Hiring and Real Estate Services",1498
101,Capital Region,1,New South Wales,M,"Professional, Scientific and Technical Services",6306
101,Capital Region,1,New South Wales,N,Administrative and Support Services,3342
101,Capital Region,1,New South Wales,O,Public Administration and Safety,16328
101,Capital Region,1,New South Wales,P,Education and Training,8687
101,Capital Region,1,New South Wales,Q,Health Care and Social Assistance,13598
101,Capital Region,1,New South Wales,R,Arts and Recreation Services,1883
101,Capital Region,1,New South Wales,S,Other Services,4048
101,Capital Region,1,New South Wales,_T,Total,111423
102,Central Coast,1,New South Wales,A,"Agriculture, Forestry and Fishing",1245
102,Central Coast,1,New South Wales,B,Mining,760
102,Central Coast,1,New South Wales,C,Manufacturing,8971
102,Central Coast,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1536
102,Central Coast,1,New South Wales,E,Construction,17381
102,Central Coast,1,New South Wales,F,Wholesale Trade,3300
102,Central Coast,1,New South Wales,G,Retail Trade,15419
102,Central Coast,1,New South Wales,H,Accommodation and Food Services,10559
102,Central Coast,1,New South Wales,I,"Transport, Postal and Warehousing",5600
102,Central Coast,1,New South Wales,J,Information Media and Telecommunications,2608
102,Central Coast,1,New South Wales,K,Financial and Insurance Services,4929
102,Central Coast,1,New South Wales,L,"Rental, Hiring and Real Estate Services",2353
102,Central Coast,1,New South Wales,M,"Professional, Scientific and Technical Services",8995
102,Central Coast,1,New South Wales,N,Administrative and Support Services,4939
102,Central Coast,1,New South Wales,O,Public Administration and Safety,9173
102,Central Coast,1,New South Wales,P,Education and Training,12405
102,Central Coast,1,New South Wales,Q,Health Care and Social Assistance,26789
102,Central Coast,1,New South Wales,R,Arts and Recreation Services,2000
102,Central Coast,1,New South Wales,S,Other Services,5803
102,Central Coast,1,New South Wales,_T,Total,150834
103,Central West,1,New South Wales,A,"Agriculture, Forestry and Fishing",8202
103,Central West,1,New South Wales,B,Mining,5701
103,Central West,1,New South Wales,C,Manufacturing,5476
103,Central West,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",1146
103,Central West,1,New South Wales,E,Construction,7479
103,Central West,1,New South Wales,F,Wholesale Trade,1944
103,Central West,1,New South Wales,G,Retail Trade,8518
103,Central West,1,New South Wales,H,Accommodation and Food Services,6395
103,Central West,1,New South Wales,I,"Transport, Postal and Warehousing",3486
103,Central West,1,New South Wales,J,Information Media and Telecommunications,636
103,Central West,1,New South Wales,K,Financial and Insurance Services,1237
103,Central West,1,New South Wales,L,"Rental, Hiring and Real Estate Services",1004
103,Central West,1,New South Wales,M,"Professional, Scientific and Technical Services",3417
103,Central West,1,New South Wales,N,Administrative and Support Services,2610
103,Central West,1,New South Wales,O,Public Administration and Safety,7006
103,Central West,1,New South Wales,P,Education and Training,8876
103,Central West,1,New South Wales,Q,Health Care and Social Assistance,14232
103,Central West,1,New South Wales,R,Arts and Recreation Services,901
103,Central West,1,New South Wales,S,Other Services,3690
103,Central West,1,New South Wales,_T,Total,95519
104,Coffs Harbour - Grafton,1,New South Wales,A,"Agriculture, Forestry and Fishing",3406
104,Coffs Harbour - Grafton,1,New South Wales,B,Mining,286
104,Coffs Harbour - Grafton,1,New South Wales,C,Manufacturing,2254
104,Coffs Harbour - Grafton,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",523
104,Coffs Harbour - Grafton,1,New South Wales,E,Construction,5704
104,Coffs Harbour - Grafton,1,New South Wales,F,Wholesale Trade,1015
104,Coffs Harbour - Grafton,1,New South Wales,G,Retail Trade,6219
104,Coffs Harbour - Grafton,1,New South Wales,H,Accommodation and Food Services,5207
104,Coffs Harbour - Grafton,1,New South Wales,I,"Transport, Postal and Warehousing",1922
104,Coffs Harbour - Grafton,1,New South Wales,J,Information Media and Telecommunications,434
104,Coffs Harbour - Grafton,1,New South Wales,K,Financial and Insurance Services,853
104,Coffs Harbour - Grafton,1,New South Wales,L,"Rental, Hiring and Real Estate Services",812
104,Coffs Harbour - Grafton,1,New South Wales,M,"Professional, Scientific and Technical Services",2504
104,Coffs Harbour - Grafton,1,New South Wales,N,Administrative and Support Services,2136
104,Coffs Harbour - Grafton,1,New South Wales,O,Public Administration and Safety,4181
104,Coffs Harbour - Grafton,1,New South Wales,P,Education and Training,5412
104,Coffs Harbour - Grafton,1,New South Wales,Q,Health Care and Social Assistance,10799
104,Coffs Harbour - Grafton,1,New South Wales,R,Arts and Recreation Services,780
104,Coffs Harbour - Grafton,1,New South Wales,S,Other Services,2311
104,Coffs Harbour - Grafton,1,New South Wales,_T,Total,59192
105,Far West and Orana,1,New South Wales,A,"Agriculture, Forestry and Fishing",5560
105,Far West and Orana,1,New South Wales,B,Mining,2101
105,Far West and Orana,1,New South Wales,C,Manufacturing,1759
105,Far West and Orana,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",694
105,Far West and Orana,1,New South Wales,E,Construction,3599
105,Far West and Orana,1,New South Wales,F,Wholesale Trade,1098
105,Far West and Orana,1,New South Wales,G,Retail Trade,4332
105,Far West and Orana,1,New South Wales,H,Accommodation and Food Services,3292
105,Far West and Orana,1,New South Wales,I,"Transport, Postal and Warehousing",1789
105,Far West and Orana,1,New South Wales,J,Information Media and Telecommunications,294
105,Far West and Orana,1,New South Wales,K,Financial and Insurance Services,585
105,Far West and Orana,1,New South Wales,L,"Rental, Hiring and Real Estate Services",429
105,Far West and Orana,1,New South Wales,M,"Professional, Scientific and Technical Services",1421
105,Far West and Orana,1,New South Wales,N,Administrative and Support Services,1239
105,Far West and Orana,1,New South Wales,O,Public Administration and Safety,3842
105,Far West and Orana,1,New South Wales,P,Education and Training,4907
105,Far West and Orana,1,New South Wales,Q,Health Care and Social Assistance,8243
105,Far West and Orana,1,New South Wales,R,Arts and Recreation Services,595
105,Far West and Orana,1,New South Wales,S,Other Services,1740
105,Far West and Orana,1,New South Wales,_T,Total,49502
106,Hunter Valley exc Newcastle,1,New South Wales,A,"Agriculture, Forestry and Fishing",3929
106,Hunter Valley exc Newcastle,1,New South Wales,B,Mining,10726
106,Hunter Valley exc Newcastle,1,New South Wales,C,Manufacturing,8214
106,Hunter Valley exc Newcastle,1,New South Wales,D,"Electricity, Gas, Water and Waste Services",2004
106,Hunter Valley exc Newcastle,1,New South Wales,E,Construction,11957
106,Hunter Valley exc Newcastle,1,New South Wales,F,Wholesale Trade,3159
106,Hunter Valley exc Newcastle,1,New South Wales,G,Retail Trade,12316
106,Hunter Valley exc Newcastle,1,New South Wales,H,Accommodation and Food Services,9987
